"","X","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"146609",146609,116.50891,39.920223,1111027376915,"2014-11-27",7,1,495,32235,153.56,3,2,1,2,30,"Tower",2001,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",61931
"38681",38681,116.343245,39.900529,1111027378998,"2017-01-10",106,128,268,105016,25.52,1,0,1,1,26,"Tower",2006,"Hardcover","Steel/Concrete",0.12,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",92360
"44202",44202,116.599672,40.056821,1111027379160,"2016-11-11",18,0,195,33141,58.84,2,1,1,1,5,"Plate",1980,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",35083
"225643",225643,116.3683,39.96151,1111027380271,"2012-09-23",7,0,415,39374,105.4,2,1,1,2,14,"Plate/Tower",1999,"Other","Steel/Concrete",1,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",84607
"106534",106534,116.425304,40.112553,1111027378310,"2015-10-25",7,39,164.3,23060,71.25,1,1,1,1,6,"Plate",2004,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",41888
"140583",140583,116.521774,39.94004,1111027374654,"2014-03-29",7,14,392,39907,98.23,2,2,1,1,26,"Plate/Tower",2007,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",62598
"118676",118676,116.603501,39.919667,1111027377416,"2012-04-28",1,0,134,16037,83.56,2,1,1,1,18,"Tower",2000,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",43307
"8320",8320,116.395668,39.957522,1111027375570,"2016-08-31",103,75,560,87637,63.9,2,1,1,1,6,"Plate",1993,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",122170
"135679",135679,116.416117,39.999631,1111027375596,"2013-09-14",7,22,219,43247,50.64,1,2,1,1,25,"Tower",1990,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",73084
"95545",95545,116.349009,40.074638,1111027377718,"2013-03-17",7,0,220,27411,80.26,2,1,1,1,6,"Plate",2004,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",47958
"220389",220389,116.364,39.84814,1111027376529,"2015-12-30",7,32,281,37106,75.73,2,1,1,1,12,"Plate",1999,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",64123
"203450",203450,116.331607,39.777363,1111027377184,"2015-12-19",7,2,278.5,27985,99.52,2,2,1,1,6,"Plate",2005,"Hardcover","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","FaXing",45296
"4220",4220,116.414006,39.876414,1111027380112,"2016-08-07",120,53,410,58740,69.8,2,0,1,1,6,"Plate",1999,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","DongCheng",66402
"217867",217867,116.4495,39.86366,1111027379213,"2015-04-13",7,0,307,35719,85.95,2,1,1,1,24,"Tower",2000,"Simplicit","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",47482
"240906",240906,116.3535,39.97959,1111027380127,"2016-02-29",7,108,430,51603,83.33,2,1,1,1,26,"Tower",1999,"Simplicit","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",75239
"251563",251563,116.2338,39.90686,1111027381888,"2012-01-15",7,0,116,18650,62.2,2,1,1,1,6,"Plate",1986,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",49154
"143836",143836,116.49875,39.924022,1111027376021,"2015-05-06",7,6,242,31585,76.62,2,1,1,1,21,"Tower",1998,"Simplicit","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",52938
"273925",273925,116.6697,39.88277,1111027381797,"2016-05-10",7,3,311,32963,94.35,2,1,1,1,6,"Plate",2003,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","TongZhou",40745
"213151",213151,116.4196,39.84543,1111027376424,"2014-06-21",7,16,160,30669,52.17,1,1,1,1,22,"Plate/Tower",2005,"Simplicit","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",57313
"231967",231967,116.343,39.96441,1111027382494,"2013-03-25",7,0,253,57370,44.1,1,1,1,1,6,"Plate",1994,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",86585
"109519",109519,116.368564,40.080471,1111043464865,"2016-01-30",1,5,380,40612,93.57,2,1,1,1,11,"Plate",2012,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChangPing",58311
"252363",252363,116.2009,39.93444,1111027378563,"2012-10-14",7,0,241,25603,94.13,2,1,1,1,16,"Tower",2007,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ShiJingShan",53389
"204819",204819,116.341599,39.726005,1111027376726,"2016-05-30",1,4,250,29128,85.83,3,2,1,1,6,"Plate",1994,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FaXing",37374
"269326",269326,116.6599,39.90843,1111027375173,"2014-02-09",7,17,140,27376,51.14,1,1,1,1,6,"Plate",1981,"Other","Mixed",0.25,"No_elevator","Ownership > 5y","No_Subway","TongZhou",46711
"4104",4104,116.443144,39.788087,1111027379468,"2016-06-16",70,17,258.5,27506,93.98,2,2,1,1,6,"Plate",2001,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",36774
"114121",114121,116.446167,39.969777,1111027380579,"2012-03-18",7,0,90,25070,35.9,1,1,1,1,12,"Plate",1986,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",66670
"6878",6878,116.698943,39.942109,1111027382618,"2016-06-30",53,25,282,32296,87.32,2,1,1,1,6,"Plate",2003,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",39020
"90074",90074,116.423504,40.083027,1111027380047,"2012-08-01",7,0,107,19367,55.25,1,0,1,1,8,"Plate",2004,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","ChangPing",36629
"4154",4154,116.427511,39.983814,1111027375391,"2016-06-19",73,30,445,65394,68.05,3,1,1,1,6,"Plate",1987,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",71268
"217897",217897,116.3826,39.8622,1111027378302,"2015-12-26",7,20,268,35357,75.8,2,1,1,1,24,"Tower",2002,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",54338
"94031",94031,116.422479,40.06389,1111027375783,"2012-11-23",1,0,120,11221,106.95,3,1,1,1,19,"Tower",2004,"Other","Steel/Concrete",0.15,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",43211
"271727",271727,116.6741,39.88266,1111027382608,"2015-06-15",7,3,194.5,19968,97.41,2,1,1,1,5,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","TongZhou",43368
"165508",165508,116.48853,39.976064,1111027377808,"2015-09-14",7,3,202,35514,56.88,2,1,1,1,23,"Tower",1988,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",57901
"103945",103945,116.22694,40.231616,1111054560665,"2016-03-16",7,1,130,21689,59.94,2,1,1,1,6,"Plate",1990,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","ChangPing",34555
"103167",103167,116.372841,40.080111,1111027375153,"2015-05-31",1,6,211.5,28682,73.74,2,1,1,1,6,"Plate",1995,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",47997
"99557",99557,116.328035,40.078668,1111027378235,"2014-06-15",7,1,255,28572,89.25,2,1,1,1,6,"Plate",2000,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",46352
"112307",112307,116.354287,40.079237,1111027378213,"2016-04-17",7,16,408.6,29460,138.7,3,2,1,2,6,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",39995
"200973",200973,116.435763,39.798071,1111027379000,"2015-03-12",1,2,246,23616,104.17,3,1,1,1,10,"Plate/Tower",2010,"Rough","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","No_Subway","FengTai",43366
"160748",160748,116.609957,39.91983,1111027375945,"2015-06-11",7,5,173,28643,60.4,1,1,1,1,28,"Plate/Tower",2007,"Hardcover","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",54263
"217858",217858,116.2955,39.84839,1111027380820,"2015-11-25",1,66,237,30780,77,3,1,1,1,6,"Plate",1996,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","FengTai",47480
"275927",275927,116.3588,39.90501,1111027380601,"2012-08-10",7,0,183,36689,49.88,1,1,1,1,14,"Plate/Tower",1985,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",88283
"278964",278964,116.3551,39.90843,1111027382692,"2013-03-06",7,2,235,59645,39.4,1,1,1,1,4,"Plate",1981,"Other","Brick/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",129807
"250496",250496,116.2155,39.92541,1111027377496,"2016-05-11",7,1,350,51403,68.09,2,2,1,1,6,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","HaiDian",62145
"268179",268179,116.6952,39.93464,1111027375151,"2013-07-07",7,2,165,20149,81.89,2,1,1,1,6,"Plate",1998,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",36953
"44945",44945,116.421713,39.971435,1111027375189,"2016-12-19",49,67,359,75484,47.56,1,1,1,1,7,"Plate",1997,"Simplicit","Brick/Concrete",0.25,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",78727
"215091",215091,116.3803,39.85004,1111027379036,"2015-01-26",7,1,344.5,35075,98.22,2,1,1,1,21,"Tower",2005,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",56964
"186639",186639,116.427853,39.966824,1111027375203,"2013-07-20",7,0,600,56354,106.47,3,1,1,1,8,"Plate/Tower",1991,"Other","Mixed",0.111,"Has_Elevator","Ownership > 5y","Has_Subway","DongCheng",85073
"30973",30973,116.408997,40.113334,1111027380193,"2016-08-30",2,3,368,24037,153.1,3,1,1,2,8,"Plate/Tower",1995,"Hardcover","Mixed",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChangPing",35621
"34076",34076,116.354036,39.890734,1111027375736,"2016-09-30",22,41,600,92308,65,3,1,1,1,6,"Plate",1988,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","XiCheng",90995
"92743",92743,116.335484,40.09232,1111027381985,"2012-09-23",7,0,190,17868,106.34,3,1,1,1,6,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",45871
"69431",69431,116.367137,40.040209,1111027382073,"2017-04-06",11,94,345,71786,48.06,1,1,1,1,6,"Plate",1996,"Simplicit","Mixed",0.023,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",64588
"99050",99050,116.35814,40.088663,1111027377954,"2014-06-28",7,8,249,25549,97.46,2,1,1,1,6,"Plate",2005,"Hardcover","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",43429
"173954",173954,116.457173,39.96476,1111027376970,"2016-01-01",1,4,180,31831,56.55,2,1,1,1,6,"Plate",1988,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",70305
"165409",165409,116.482498,39.912103,1111027379505,"2015-09-10",1,1,408,38181,106.86,3,0,0,1,28,"Tower",2000,"Simplicit","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",52587
"198140",198140,116.333514,39.797388,1111027379316,"2013-06-12",7,0,157,29456,53.3,1,0,1,1,15,"Plate/Tower",2009,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","FaXing",52902
"128529",128529,116.457117,39.971046,1111027379247,"2013-01-29",7,1,222,38323,57.93,2,1,1,1,6,"Plate",1987,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",64989
"93444",93444,116.342963,40.093175,1111027378137,"2012-11-03",7,0,224,21925,102.17,2,2,1,1,11,"Plate",2004,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",53740
"246774",246774,116.2947,39.95005,1111027378547,"2016-01-25",7,10,595,62990,94.46,3,1,1,1,6,"Plate",1997,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",87008
"146473",146473,116.467922,39.993105,1111027375067,"2014-08-31",1,3,196,39193,50.01,1,1,1,1,18,"Tower",1995,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",59262
"253870",253870,116.247,39.90643,1111027382209,"2013-08-23",1,3,235,39109,60.09,1,0,1,1,26,"Plate/Tower",2007,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ShiJingShan",64222
"115063",115063,116.603118,39.906824,1111027382237,"2012-01-07",7,0,145,16508,87.84,2,1,1,1,14,"Plate",2010,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",57024
"158094",158094,116.455099,39.978117,1111027380216,"2015-05-23",7,0,297,46706,63.59,1,1,1,1,18,"Plate/Tower",2005,"Hardcover","Steel/Concrete",0.222,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",90807
"12250",12250,116.458742,39.886929,1111027377358,"2016-06-17",5,4,177,44777,39.53,1,1,1,1,6,"Plate",1980,"Rough","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",56983
"114024",114024,116.465187,39.892424,1111027377381,"2011-07-17",7,0,151,28604,52.79,3,1,1,1,5,"Plate",1977,"Other","Brick/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",58572
"244387",244387,116.354,40.01264,1111027380166,"2015-09-08",7,4,273,46627,58.55,1,0,1,1,20,"Tower",2005,"Hardcover","Steel/Concrete",0.444,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",74104
"66261",66261,116.26973,39.901123,1111027380520,"2017-03-14",9,5,470,58270,80.66,3,1,1,1,20,"Tower",1997,"Simplicit","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",52101
"51643",51643,116.330839,39.847582,1111027380386,"2017-02-06",57,40,359,53368,67.27,1,1,1,1,21,"Tower",2003,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",50952
"146571",146571,116.450792,39.871858,1111027374299,"2014-09-01",7,2,366,34851,105.02,2,2,1,2,22,"Tower",2000,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",52632
"233083",233083,116.3523,40.06243,1111027382146,"2013-07-07",7,1,416,44488,93.51,3,2,1,1,6,"Plate",1998,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",74931
"66420",66420,116.632377,40.033796,1111027381751,"2017-03-09",4,0,280,27368,102.31,2,2,1,1,6,"Plate",2000,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","MenTouGou",29574
"237095",237095,116.3517,39.98057,1111027378230,"2014-10-18",7,0,215,50000,43,1,1,1,1,6,"Plate",1996,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",74710
"267102",267102,116.7032,39.91102,1111027381727,"2012-12-30",7,0,221,16785,131.67,3,2,1,2,18,"Plate/Tower",2009,"Other","Steel/Concrete",0.667,"Has_Elevator","Ownership > 5y","Has_Subway","TongZhou",57333
"120892",120892,116.529466,39.928033,1111027379804,"2012-07-15",7,0,598,33895,176.43,3,2,1,2,24,"Plate",2007,"Other","Steel/Concrete",1,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",83321
"261166",261166,116.5602,40.11005,1111027380329,"2013-09-08",7,1,500,16957,294.87,4,3,1,4,11,"Plate",2000,"Other","Mixed",0.5,"Has_Elevator","Ownership < 5y","No_Subway","MenTouGou",44446
"241496",241496,116.3205,40.03903,1111046342806,"2015-05-04",7,8,430,72269,59.5,2,1,1,1,6,"Plate",1993,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",107251
"167187",167187,116.456991,39.956732,1111027381377,"2015-09-22",1,0,350,44872,78,3,0,1,1,5,"Plate",1966,"Simplicit","Steel/Concrete",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",64312
"80414",80414,116.63734,39.88191,1111027376834,"2017-09-04",24,75,276.7,30748,89.99,2,1,1,1,22,"Plate/Tower",2008,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","TongZhou",30000
"57959",57959,116.246374,39.844724,1111027381427,"2017-03-24",60,117,350,49908,70.13,2,1,1,1,6,"Plate",1998,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FengTai",38705
"186222",186222,116.445042,39.894679,1111027377935,"2013-04-26",7,0,222,48021,46.23,1,0,1,1,12,"Plate/Tower",2002,"Other","Steel/Concrete",0.111,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",93124
"96089",96089,116.415343,40.075533,1111027379943,"2013-05-01",7,0,229,24979,91.68,2,1,1,1,6,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",40084
"247948",247948,116.2987,39.93453,1111027376013,"2016-02-01",7,69,320,60038,53.3,2,1,1,1,6,"Plate",1997,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",80645
"98971",98971,116.358797,40.083529,1111027378215,"2014-06-09",7,9,288,23170,124.3,3,2,1,2,5,"Plate",2003,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",42145
"19723",19723,116.320453,40.039032,1111046342806,"2016-10-03",80,63,900,105018,85.7,3,1,1,1,6,"Plate",1994,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",107251
"247158",247158,116.3318,40.05165,1111027379460,"2016-01-29",7,9,540,40489,133.37,3,2,1,2,21,"Plate",2012,"Rough","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",70362
"106201",106201,116.359156,40.079209,1111027378212,"2015-08-29",7,9,269,25192,106.78,2,2,1,1,6,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChangPing",37700
"52124",52124,116.117019,39.93386,1111052073923,"2016-12-28",13,0,242,39640,61.05,2,1,1,1,6,"Plate",1989,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShunYi",39381
"61853",61853,116.42257,39.981146,1111027379231,"2017-04-11",54,82,450.5,84395,53.38,2,1,1,1,5,"Plate",1980,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",71712
"244095",244095,116.343,39.96441,1111027382494,"2015-09-04",1,12,380,56214,67.6,3,1,1,1,6,"Plate",1983,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","HaiDian",86585
"236679",236679,116.366,39.97112,1111027379130,"2015-05-08",7,13,428,51798,82.63,2,1,1,1,16,"Plate/Tower",1999,"Hardcover","Steel/Concrete",0.211,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",89026
"174996",174996,116.461247,39.889178,1111027377369,"2016-02-26",7,16,208,40865,50.9,2,0,1,1,12,"Plate/Tower",1979,"Simplicit","Steel/Concrete",0.111,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",56583
"259631",259631,116.6399,40.14345,1111027378836,"2013-09-19",7,0,190,23200,81.9,2,1,1,1,6,"Plate",2001,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","MenTouGou",34332
"150675",150675,116.487808,39.889853,1111027378758,"2015-04-13",7,11,162,31208,51.91,1,2,1,1,6,"Plate",1994,"Hardcover","Brick/Concrete",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",58444
"126785",126785,116.437967,40.001107,1111027379321,"2012-12-08",7,0,292,35623,81.97,2,1,1,1,12,"Plate/Tower",1996,"Other","Steel/Concrete",1,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",69698
"123202",123202,116.488534,39.875468,1111027379442,"2012-09-08",7,0,120,26979,44.48,1,1,1,1,18,"Tower",1995,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",56126
"280703",280703,116.3893,39.88687,1111027376481,"2014-11-23",7,20,415,50085,82.86,3,1,1,1,16,"Plate/Tower",2003,"Simplicit","Steel/Concrete",0.214,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",91507
"39627",39627,116.501958,39.882586,1111027379326,"2016-10-31",30,6,937,56392,166.16,3,2,1,2,10,"Plate",2004,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",59213
"282766",282766,116.3586,39.9321,1111027376241,"2014-10-06",7,11,312.5,47349,66,2,1,1,1,20,"Tower",1992,"Simplicit","Mixed",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",98860
"140099",140099,116.430562,40.045549,1111027376255,"2014-02-27",7,3,353,40060,88.12,2,1,1,1,15,"Plate",2004,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",52306
